X;min;mean;max;date
842;36;50;63;2015-04-22
843;38;50;63;2015-04-23
844;42;52;63;2015-04-24
845;46;54;63;2015-04-25
846;43;56;69;2015-04-26
847;43;54;66;2015-04-27
848;50;57;64;2015-04-28
849;48;56;63;2015-04-29
850;42;55;68;2015-04-30
851;45;56;66;2015-05-01
852;44;52;61;2015-05-02
853;43;56;68;2015-05-03
854;49;63;77;2015-05-04
855;55;70;84;2015-05-05
856;54;68;82;2015-05-06
857;59;69;79;2015-05-07
858;52;63;74;2015-05-08
859;52;64;73;2015-05-09
860;47;56;65;2015-05-10
861;47;56;64;2015-05-11
862;47;58;69;2015-05-12
863;44;58;72;2015-05-13
864;46;60;74;2015-05-14
865;48;64;80;2015-05-15
866;55;68;81;2015-05-16
867;51;65;79;2015-05-17
868;57;67;77;2015-05-18
869;54;64;75;2015-05-19
870;50;60;71;2015-05-20
871;52;62;72;2015-05-21
872;53;62;73;2015-05-22
873;55;63;71;2015-05-23
874;48;59;70;2015-05-24
875;50;58;66;2015-05-25
876;50;59;68;2015-05-26
877;46;55;65;2015-05-27
878;48;56;65;2015-05-28
879;39;52;66;2015-05-29
880;43;58;72;2015-05-30
881;50;64;77;2015-05-31
882;50;60;71;2015-06-01
883;47;61;75;2015-06-02
884;50;64;79;2015-06-03
885;55;66;78;2015-06-04
886;56;67;78;2015-06-05
887;55;67;79;2015-06-06
888;54;66;78;2015-06-07
889;53;63;73;2015-06-08
890;56;66;75;2015-06-09
891;52;64;75;2015-06-10
892;52;65;78;2015-06-11
893;56;69;82;2015-06-12
894;56;70;83;2015-06-13
895;58;72;85;2015-06-14
896;57;70;84;2015-06-15
897;58;70;82;2015-06-16
898;56;68;79;2015-06-17
899;56;62;68;2015-06-18
900;52;63;74;2015-06-19
901;53;66;78;2015-06-20
902;55;61;67;2015-06-21
903;48;60;71;2015-06-22
904;47;62;77;2015-06-23
905;51;66;80;2015-06-24
906;53;64;76;2015-06-25
907;46;59;72;2015-06-26
908;53;64;76;2015-06-27
909;51;62;72;2015-06-28
910;53;65;77;2015-06-29
911;55;59;63;2015-06-30
912;52;62;73;2015-07-01
913;52;64;77;2015-07-02
914;55;67;79;2015-07-03
915;57;69;81;2015-07-04
916;57;69;81;2015-07-05
917;58;70;83;2015-07-06
918;61;74;86;2015-07-07
919;59;73;87;2015-07-08
920;62;76;89;2015-07-09
921;62;70;79;2015-07-10
922;61;70;78;2015-07-11
923;56;70;84;2015-07-12
924;59;72;86;2015-07-13
925;58;72;86;2015-07-14
926;61;74;86;2015-07-15
927;62;74;85;2015-07-16
928;63;76;90;2015-07-17
929;63;76;89;2015-07-18
